Historical Prices - TA-90
From 03/06/2012 To 03/06/2017, Frequency: Daily

Date,Index Base Price,Index Opening Price,Closing Index Value,High,Low,Overall Market Cap(NIS thousands) * 
16/02/2015,832.36,833.32,839.66,839.66,832.92,131181293
15/02/2015,821.40,823.28,832.36,833.05,821.07,130093872
12/02/2015,824.60,823.84,821.40,832.61,821.40,128365015
11/02/2015,830.21,835.22,824.60,835.66,821.40,132299242
10/02/2015,822.35,825.60,830.21,831.27,823.55,133033134
09/02/2015,818.63,821.75,822.35,822.35,818.28,131301243
08/02/2015,806.29,811.23,818.63,819.15,807.91,130366949
05/02/2015,808.10,810.94,806.29,811.24,805.03,128429006
04/02/2015,805.91,808.83,808.10,811.53,806.48,128635772
03/02/2015,796.10,797.59,805.91,806.06,796.45,128377894
02/02/2015,791.36,790.28,796.10,799.11,789.39,126454407
01/02/2015,794.57,798.82,791.36,798.90,791.36,125457505
29/01/2015,799.87,799.45,794.57,801.68,794.17,125822267
28/01/2015,801.30,802.98,799.87,805.65,794.87,126335779
27/01/2015,791.72,792.36,801.30,803.50,792.18,126909746
26/01/2015,781.95,783.27,791.72,793.00,783.07,125273442
25/01/2015,780.43,783.52,781.95,786.94,781.95,123654020
22/01/2015,783.85,785.91,780.43,788.08,779.13,123681089
21/01/2015,782.81,783.49,783.85,785.96,779.45,123993832
20/01/2015,780.73,780.65,782.81,783.75,779.68,123434515
19/01/2015,790.39,789.74,780.73,790.82,774.89,123282981
18/01/2015,796.53,795.75,790.39,797.41,790.13,124752782
15/01/2015,799.06,797.87,796.53,802.79,794.35,125586213
14/01/2015,811.33,810.78,799.06,810.78,795.32,125762868
13/01/2015,802.14,798.03,811.33,812.69,797.97,127312878
12/01/2015,801.15,807.38,802.14,807.97,801.17,125859523
11/01/2015,802.10,811.97,801.15,812.02,801.15,125703697
08/01/2015,792.40,796.45,802.10,803.64,796.24,125950265
07/01/2015,792.64,786.09,792.40,794.95,785.28,124452876
06/01/2015,799.95,791.82,792.64,794.54,785.90,124349420
05/01/2015,808.62,808.15,799.95,808.36,798.26,125330275
04/01/2015,815.55,820.50,808.62,820.96,808.57,126840505
01/01/2015,810.87,803.11,815.55,815.55,803.11,127870402
31/12/2014,796.86,798.80,810.87,811.15,798.20,124919375
30/12/2014,802.20,795.71,796.86,802.87,795.36,122593665
29/12/2014,814.65,813.45,802.20,814.67,799.78,123313705
28/12/2014,822.70,822.10,814.65,824.84,813.52,125357099
25/12/2014,828.08,827.04,822.70,828.50,821.40,126599292
24/12/2014,830.24,831.79,828.08,832.78,820.14,127556340
23/12/2014,843.52,843.96,830.24,844.26,828.66,128025330
22/12/2014,845.59,843.82,843.52,846.36,840.41,130018748
21/12/2014,845.85,846.57,845.59,848.87,845.01,130611515
18/12/2014,835.00,840.71,845.85,847.90,840.71,130976940
17/12/2014,836.62,836.35,835.00,840.10,831.48,129526790
16/12/2014,862.31,853.33,836.62,856.40,830.18,129816367
15/12/2014,861.61,861.44,862.31,868.36,859.94,133925527
14/12/2014,855.16,846.39,861.61,861.61,845.96,133966935
11/12/2014,856.22,851.48,855.16,857.06,849.37,134015744
10/12/2014,849.30,854.39,856.22,859.48,854.28,134172138
09/12/2014,867.84,861.49,849.30,861.75,848.41,133311015
08/12/2014,869.93,868.26,867.84,870.38,867.29,135892429
07/12/2014,859.49,869.39,869.93,870.18,865.91,136191068
04/12/2014,857.78,864.27,859.49,871.66,858.78,135050365
03/12/2014,844.42,845.79,857.78,857.78,845.79,134873000
02/12/2014,844.55,843.37,844.42,846.49,840.92,133372156
01/12/2014,848.15,844.92,844.55,849.09,844.55,133527295
30/11/2014,856.69,857.05,848.15,857.05,848.15,135045910
27/11/2014,850.55,851.52,856.69,858.69,851.18,135387176
26/11/2014,839.14,837.58,850.55,851.52,837.20,134528681
25/11/2014,840.61,846.19,839.14,847.04,838.00,132725843
24/11/2014,842.69,839.29,840.61,842.82,836.98,132833652
23/11/2014,850.70,854.83,842.69,856.68,842.59,133571350
20/11/2014,860.73,863.18,850.70,863.18,850.70,135222759
19/11/2014,860.18,856.71,860.73,865.28,856.21,136846768
18/11/2014,858.86,856.54,860.18,860.88,855.58,136614825
17/11/2014,858.75,859.92,858.86,861.47,856.93,136470747
16/11/2014,855.56,853.84,858.75,861.08,853.75,136671890
13/11/2014,850.84,858.11,855.56,859.25,854.78,136210223
12/11/2014,857.49,856.33,850.84,861.27,849.81,135511085
11/11/2014,870.33,869.08,857.49,869.97,856.55,136232886
10/11/2014,872.99,875.34,870.33,876.91,868.67,138399605
09/11/2014,867.97,874.05,872.99,874.10,869.96,139334257
06/11/2014,873.85,874.83,867.97,874.83,867.17,138766799
05/11/2014,876.42,873.10,873.85,879.97,869.23,139288502
04/11/2014,875.72,879.49,876.42,879.49,874.39,139885605
03/11/2014,876.76,878.42,875.72,880.16,874.72,139666295
02/11/2014,863.26,874.40,876.76,877.34,873.41,139872327
30/10/2014,875.94,876.93,863.26,877.82,860.11,137741426
29/10/2014,877.99,881.52,875.94,883.71,875.35,139920280
28/10/2014,878.89,877.68,877.99,882.41,877.35,140290591
27/10/2014,880.47,885.08,878.89,886.12,877.99,140523434
26/10/2014,878.98,879.50,880.47,883.46,879.21,140734159
23/10/2014,878.50,879.86,878.98,881.80,875.44,140646389
22/10/2014,876.06,878.27,878.50,881.81,876.68,140540613
21/10/2014,871.56,869.65,876.06,876.06,869.65,140308959
20/10/2014,875.59,872.91,871.56,877.42,869.47,139555703
19/10/2014,873.22,873.72,875.59,878.57,872.93,140325005
14/10/2014,883.18,878.08,873.22,881.82,873.06,140059341
13/10/2014,879.98,880.61,883.18,886.46,880.52,141648504
12/10/2014,904.84,890.97,879.98,893.96,879.95,141208606
07/10/2014,907.90,911.71,904.84,911.71,904.24,145112290
06/10/2014,908.79,907.26,907.90,913.89,906.19,145425828
05/10/2014,890.42,897.59,908.79,909.72,897.59,145070450
02/10/2014,894.21,889.38,890.42,892.77,887.54,142235135
01/10/2014,899.88,902.71,894.21,903.18,892.49,142749151
30/09/2014,903.50,900.98,899.88,908.57,899.88,143688701
29/09/2014,907.35,906.02,903.50,909.43,902.54,144321382
28/09/2014,908.96,907.62,907.35,909.54,906.82,144902744
23/09/2014,917.08,915.99,908.96,916.06,907.10,144942260
22/09/2014,916.99,916.96,917.08,917.29,912.40,146102981
21/09/2014,917.93,918.43,916.99,918.98,915.16,146074111
18/09/2014,913.38,911.80,917.93,918.87,911.67,145911764
17/09/2014,901.94,907.63,913.38,913.38,906.70,145352466
16/09/2014,901.26,900.43,901.94,903.81,899.16,143738937
15/09/2014,907.00,907.51,901.26,907.75,900.23,143863373
14/09/2014,913.74,912.64,907.00,913.14,906.56,144932540
11/09/2014,911.84,915.30,913.74,915.39,910.67,145677339
10/09/2014,917.67,916.18,911.84,916.18,911.37,145612298
09/09/2014,923.23,925.68,917.67,927.52,916.87,146272905
08/09/2014,925.02,923.64,923.23,924.97,921.47,147537749
07/09/2014,917.22,922.98,925.02,925.02,920.31,147858636
04/09/2014,919.49,920.05,917.22,920.60,913.44,147192451
